Title,Author,Rating,Number of Reviews,Publication Date,Format,Amazon Link,Category,Description,Players Mentioned,Teams Mentioned,Topics
Bronny James: Legacy in Progress,Various,4.3,100+,2024,Paperback,https://www.amazon.com/Bronny-James-Legacy-Progress/dp/B0D3K9VK0W,Player Biography,Profile of LeBron James' son.,LeBron James,N/A,Biography
Basketball Prospects: Future NBA Stars,Various,4.2,80+,Annual,Paperback,https://www.amazon.com/Basketball-Prospects-Future-NBA-Stars/dp/B09BMVUD7X,Scouting,Annual guide to basketball prospects.,N/A,N/A,Draft
High School Hoops: America's Basketball Factories,Various,4.3,100+,2022,Paperback,https://www.amazon.com/High-School-Hoops-Americas-Basketball/dp/B09XJL7KBL,High School Basketball,Guide to elite high school basketball programs.,N/A,N/A,High School Basketball
Oak Hill Academy: Basketball Factory,Various,4.4,80+,2020,Paperback,https://www.amazon.com/Oak-Hill-Academy-Basketball-Factory/dp/B08DPEQXOU,High School Basketball,History of Oak Hill Academy basketball.,N/A,N/A,Biography; History
IMG Academy: The New Model,Various,4.2,60+,2021,Paperback,https://www.amazon.com/IMG-Academy-New-Model/dp/B095GNIVO0,High School Basketball,Profile of IMG Academy basketball.,N/A,N/A,High School Basketball
Personal Foul: A First-Person Account of the Scandal that Rocked the NBA,Tim Donaghy,3.9,1200+,October 2009,Paperback/Kindle,https://www.amazon.com/Personal-Foul-First-Person-Account-Scandal/dp/061536263X,Scandal/Memoir,Former NBA referee reveals the betting scandal that rocked professional basketball. Contains never-before-seen documentation.,N/A,N/A,Biography; Scandal
Tommy Nunez NBA Referee: Taking My Best Shot,Barbara J. Marvis,4.2,50+,1996,Hardcover,https://www.amazon.com/Tommy-Nunez-NBA-Referee-Taking/dp/1883845289,Biography/Referee,Biography of the only Hispanic basketball referee in the NBA who overcame challenges to succeed.,N/A,N/A,Biography
Basketball Referee 101,HowExpert and Steven Michaluk,4.3,80+,October 2019,Paperback/Kindle,https://www.amazon.com/Basketball-Referee-101-Succeed-Official/dp/1950864103,Officiating Guide,101 Tips to Start Grow and Succeed as a Basketball Official From A to Z.,N/A,N/A,Officiating Guide
Officiating Basketball,American Sport Education Program,4.1,120+,2005,Paperback,https://www.amazon.com/Officiating-Basketball-Sport-Books/dp/0736047670,Officiating Guide,NFHS endorsed guide for new and experienced high school basketball referees.,N/A,N/A,Officiating Guide
Beyond the Rules Basketball Officiating Volume 1,Billy Martin,4.4,60+,2011,Paperback,https://www.amazon.com/Beyond-Rules-Basketball-Officiating-Techniques/dp/1456510010,Officiating Guide,Techniques tips and Best Practices for Scholastic/Collegiate Basketball Officials.,N/A,N/A,Officiating Guide
The Basketball Draft Fact Book,Robert D. Bradley,4.5,100+,May 2013,Hardcover,https://www.amazon.com/Basketball-Draft-Fact-Book-Professional/dp/0810890682,Draft History,First detailed comprehensive listing of all professional basketball drafts from 1947 to present.,N/A,N/A,Biography; History; Draft
The NBA Draft Almanac 2025 Edition,Richard Lu,4.3,40+,2025,Paperback,https://www.amazon.com/NBA-Draft-Almanac-2025/dp/B0FBM7367J,Draft Guide,Comprehensive reference guide covering the 2025 NBA Draft with detailed scouting reports.,N/A,N/A,Championship; Draft
The NBA Draft Almanac 2024 Edition,Richard Lu,4.3,50+,2024,Paperback,https://www.amazon.com/NBA-Draft-Almanac-2024/dp/B0D5VFFPK7,Draft Guide,All-encompassing reference guide covering the 2024 NBA Draft with scouting reports.,N/A,N/A,Championship; Draft
The NBA Draft Almanac 2023 Edition,Richard Lu,4.3,60+,2023,Paperback,https://www.amazon.com/NBA-Draft-Almanac-2023/dp/B0C6VTZKMH,Draft Guide,Complete reference guide with scouting reports on Wembanyama Henderson and top prospects.,N/A,N/A,Draft
Rick Barry's Pro Basketball Scouting Report,Rick Barry,4.2,80+,1989,Paperback,https://www.amazon.com/Barrys-basketball-scouting-report-depth/dp/0933893914,Scouting/Analytics,Player ratings and in-depth analysis on more than 400 NBA players and draft picks.,N/A,N/A,Analytics; Draft
National Basketball Association Strategies,Frank P. Jozsa Jr.,4.0,40+,2014,Paperback,https://www.amazon.com/National-Basketball-Association-Strategies-SpringerBriefs/dp/3319100572,Business/Economics,Business Expansions Relocations and Mergers - NBA's short and long run business strategies.,N/A,N/A,Business
The National Basketball Association: Business Organization and Strategy,Frank P. Jozsa Jr.,4.1,60+,October 2010,Hardcover,https://www.amazon.com/National-Basketball-Association-Business-Organization/dp/9814313904,Business/Economics,Discusses the development growth and success of the NBA from a business perspective.,N/A,N/A,Coaching; Business
The Business of the NBA: Behind the Scenes of the Billion-Dollar Game,Gary Evans,4.0,30+,2023,Paperback,https://www.amazon.com/Business-NBA-Behind-Billion-Dollar-Exploring/dp/B0C522XXQF,Business/Economics,In-depth guide to NBA revenue streams sponsorships endorsements and media partnerships.,N/A,N/A,Business
The NBA Story: How the Sports League Slam-Dunked Its Way into a Global Business Powerhouse,Rich Mintzer,4.2,150+,2020,Hardcover/Kindle,https://www.amazon.com/NBA-Story-Slam-Dunked-Powerhouse-Storybook/dp/1400218853,Business/History,Competitive strategies workplace culture and business practices that made the NBA a powerhouse.,N/A,N/A,Biography; History; Business; Culture
Dirk Nowitzki: The Inspiring Story of One of Basketball's Best European Stars,Clayton Geoffreys,4.4,300+,2016,Paperback/Kindle,https://www.amazon.com/Dirk-Nowitzki-Inspiring-Basketballs-European/dp/1530073723,Player Biography,Inspirational story of the Dallas Mavericks superstar Dirk Nowitzki.,Dirk Nowitzki,Mavericks; Dallas,Biography; Championship; International
Tony Parker: The Inspiring Story of One of Basketball's Greatest Point Guards,Clayton Geoffreys,4.3,200+,2014,Paperback/Kindle,https://www.amazon.com/Tony-Parker-Inspiring-Basketballs-Basketball/dp/1500350796,Player Biography,Story of the first international player to create a lasting impact at point guard.,Tony Parker,N/A,Biography; Championship; International
Manu Ginobili: The Inspiring Story of One of Basketball's Greatest Sixth Men,Clayton Geoffreys,4.4,180+,2018,Paperback/Kindle,https://www.amazon.com/Manu-Ginobili-Inspiring-Basketballs-Greatest/dp/1983415553,Player Biography,Story of the Argentine shooting guard and San Antonio Spurs legend.,Manu Ginobili,Spurs; San Antonio,Biography; Championship
Tim Duncan: The Inspiring Story of One of Basketball's Greatest Power Forwards,Clayton Geoffreys,4.5,250+,2017,Paperback/Kindle,https://www.amazon.com/Tim-Duncan-Inspiring-Basketballs-Greatest/dp/1520707614,Player Biography,Story of the San Antonio Spurs fundamental big man and five-time champion.,Tim Duncan,Spurs; San Antonio,Biography; Championship
Kawhi Leonard: The Inspiring Story of One of Basketball's Best All-Around Players,Clayton Geoffreys,4.3,220+,2019,Paperback/Kindle,https://www.amazon.com/Kawhi-Leonard-Inspiring-Basketballs-All-Around/dp/1091215722,Player Biography,Story of the two-time Finals MVP and defensive stalwart.,Kawhi Leonard,N/A,Biography; Championship
Russell Westbrook: The Inspiring Story of One of Basketball's Premier Point Guards,Clayton Geoffreys,4.3,280+,2017,Paperback/Kindle,https://www.amazon.com/Russell-Westbrook-Inspiring-Basketballs-Premier/dp/1520766831,Player Biography,Story of the explosive MVP and triple-double machine.,Russell Westbrook,N/A,Biography; Championship
James Harden: The Inspiring Story of One of Basketball's Premier Shooting Guards,Clayton Geoffreys,4.3,240+,2018,Paperback/Kindle,https://www.amazon.com/James-Harden-Inspiring-Basketballs-Shooting/dp/1718659059,Player Biography,Story of the scoring champion and MVP.,James Harden,N/A,Biography; Championship
Kyrie Irving: The Inspiring Story of One of Basketball's Most Dynamic Point Guards,Clayton Geoffreys,4.3,200+,2017,Paperback/Kindle,https://www.amazon.com/Kyrie-Irving-Inspiring-Basketballs-Dynamic/dp/1520775415,Player Biography,Story of the clutch performer and NBA champion.,Kyrie Irving,N/A,Biography; Championship
Anthony Davis: The Inspiring Story of One of Basketball's Most Dynamic Power Forwards,Clayton Geoffreys,4.3,180+,2020,Paperback/Kindle,https://www.amazon.com/Anthony-Davis-Inspiring-Basketballs-Dynamic/dp/B08DSXC1XC,Player Biography,Story of the Brow and Lakers champion.,Anthony Davis,Lakers,Biography; Championship
Damian Lillard: The Inspiring Story of One of Basketball's Most Dynamic Point Guards,Clayton Geoffreys,4.4,190+,2019,Paperback/Kindle,https://www.amazon.com/Damian-Lillard-Inspiring-Basketballs-Dynamic/dp/1091206503,Player Biography,Story of Dame Time and the Portland Trail Blazers star.,Damian Lillard,Trail Blazers; Blazers; Portland,Biography; Championship
Joel Embiid: The Inspiring Story of One of Basketball's Rising Stars,Clayton Geoffreys,4.3,160+,2018,Paperback/Kindle,https://www.amazon.com/Joel-Embiid-Inspiring-Basketballs-Rising/dp/1718741758,Player Biography,Story of The Process and the Sixers center.,Joel Embiid,Sixers,Biography; Championship
Ben Simmons: The Inspiring Story of One of Basketball's Rising All-Around Stars,Clayton Geoffreys,4.2,140+,2018,Paperback/Kindle,https://www.amazon.com/Ben-Simmons-Inspiring-Basketballs-All-Around/dp/1718659067,Player Biography,Story of the Australian point forward.,Ben Simmons,N/A,Biography; Championship
Jayson Tatum: The Inspiring Story of One of Basketball's Rising Stars,Clayton Geoffreys,4.4,200+,2020,Paperback/Kindle,https://www.amazon.com/Jayson-Tatum-Inspiring-Basketballs-Rising/dp/B08DSXD7P2,Player Biography,Story of the Boston Celtics young superstar.,Jayson Tatum,Celtics; Boston,Biography; Championship
Zion Williamson: The Inspiring Story of One of Basketball's Rising Stars,Clayton Geoffreys,4.2,150+,2020,Paperback/Kindle,https://www.amazon.com/Zion-Williamson-Inspiring-Basketballs-Rising/dp/B084DG59JH,Player Biography,Story of the high-flying Pelicans forward.,Zion Williamson,Pelicans,Biography; Championship
Ja Morant: The Inspiring Story of One of Basketball's Rising Stars,Clayton Geoffreys,4.4,180+,2022,Paperback/Kindle,https://www.amazon.com/Ja-Morant-Inspiring-Basketballs-Rising/dp/B09XJKHP6Q,Player Biography,Story of the electric Memphis Grizzlies point guard.,Ja Morant,Grizzlies; Memphis,Biography; Championship
Trae Young: The Inspiring Story of One of Basketball's Most Dynamic Point Guards,Clayton Geoffreys,4.3,150+,2021,Paperback/Kindle,https://www.amazon.com/Trae-Young-Inspiring-Basketballs-Dynamic/dp/B095GNDHM3,Player Biography,Story of Ice Trae and the Atlanta Hawks.,Trae Young,Hawks; Atlanta,Biography; Championship
Donovan Mitchell: The Inspiring Story of One of Basketball's Rising Stars,Clayton Geoffreys,4.3,140+,2019,Paperback/Kindle,https://www.amazon.com/Donovan-Mitchell-Inspiring-Basketballs-Rising/dp/1091206511,Player Biography,Story of Spida and the Utah Jazz star.,Donovan Mitchell,Jazz; Utah,Biography; Championship
Devin Booker: The Inspiring Story of One of Basketball's Rising Stars,Clayton Geoffreys,4.4,160+,2021,Paperback/Kindle,https://www.amazon.com/Devin-Booker-Inspiring-Basketballs-Rising/dp/B095GNDIQ2,Player Biography,Story of the Phoenix Suns sharpshooter.,Devin Booker,Suns; Phoenix,Biography; Championship
Nikola Jokic: The Inspiring Story of One of Basketball's Rising Stars,Clayton Geoffreys,4.5,220+,2021,Paperback/Kindle,https://www.amazon.com/Nikola-Jokic-Inspiring-Basketballs-Rising/dp/B095GNDJP1,Player Biography,Story of The Joker and the Denver Nuggets MVP.,Nikola Jokic,Nuggets; Denver,Biography; Championship
Chris Paul: The Inspiring Story of One of Basketball's Greatest Point Guards,Clayton Geoffreys,4.4,260+,2017,Paperback/Kindle,https://www.amazon.com/Chris-Paul-Inspiring-Basketballs-Greatest/dp/1520823045,Player Biography,Story of CP3 and the Point God.,Chris Paul,N/A,Biography; Championship
Dwyane Wade: The Inspiring Story of One of Basketball's Greatest Shooting Guards,Clayton Geoffreys,4.5,300+,2016,Paperback/Kindle,https://www.amazon.com/Dwyane-Wade-Inspiring-Basketballs-Greatest/dp/1532705573,Player Biography,Story of Flash and the Miami Heat legend.,Dwyane Wade,Heat; Miami,Biography; Championship
Paul George: The Inspiring Story of One of Basketball's Most Dynamic Forwards,Clayton Geoffreys,4.3,180+,2018,Paperback/Kindle,https://www.amazon.com/Paul-George-Inspiring-Basketballs-Dynamic/dp/1718741774,Player Biography,Story of PG-13 and his comeback from injury.,Paul George,N/A,Biography; Championship
Jimmy Butler: The Inspiring Story of One of Basketball's Best All-Around Shooting Guards,Clayton Geoffreys,4.4,200+,2019,Paperback/Kindle,https://www.amazon.com/Jimmy-Butler-Inspiring-Basketballs-All-Around/dp/1091215731,Player Biography,Story of Jimmy Buckets and his rise from obscurity.,Jimmy Butler,N/A,Biography; Championship
Karl-Anthony Towns: The Inspiring Story of One of Basketball's Rising Stars,Clayton Geoffreys,4.3,150+,2017,Paperback/Kindle,https://www.amazon.com/Karl-Anthony-Towns-Inspiring-Basketballs/dp/1520775431,Player Biography,Story of KAT and the Timberwolves big man.,Karl-Anthony Towns,Timberwolves,Biography; Championship
Kemba Walker: The Inspiring Story of One of Basketball's Most Dynamic Point Guards,Clayton Geoffreys,4.3,130+,2018,Paperback/Kindle,https://www.amazon.com/Kemba-Walker-Inspiring-Basketballs-Dynamic/dp/1718741782,Player Biography,Story of Cardiac Kemba from UConn to the NBA.,N/A,N/A,Biography; Championship
DeMar DeRozan: The Inspiring Story of One of Basketball's Dynamic All-Stars,Clayton Geoffreys,4.3,120+,2019,Paperback/Kindle,https://www.amazon.com/DeMar-DeRozan-Inspiring-Basketballs-Dynamic/dp/1091206528,Player Biography,Story of the mid-range master.,N/A,N/A,Biography; Championship
Bradley Beal: The Inspiring Story of One of Basketball's Rising Stars,Clayton Geoffreys,4.2,110+,2018,Paperback/Kindle,https://www.amazon.com/Bradley-Beal-Inspiring-Basketballs-Rising/dp/1718741790,Player Biography,Story of the Wizards star shooting guard.,N/A,Wizards,Biography; Championship
CJ McCollum: The Inspiring Story of One of Basketball's Rising Stars,Clayton Geoffreys,4.2,100+,2017,Paperback/Kindle,https://www.amazon.com/CJ-McCollum-Inspiring-Basketballs-Rising/dp/1520823053,Player Biography,Story of the Trail Blazers sharpshooter.,N/A,Trail Blazers; Blazers,Biography; Championship
Draymond Green: The Inspiring Story of One of Basketball's Most Unique Power Forwards,Clayton Geoffreys,4.3,180+,2017,Paperback/Kindle,https://www.amazon.com/Draymond-Green-Inspiring-Basketballs-Unique/dp/1520766823,Player Biography,Story of the Warriors defensive anchor.,N/A,Warriors,Biography; Championship
Klay Thompson: The Inspiring Story of One of Basketball's Greatest Shooters,Clayton Geoffreys,4.4,220+,2017,Paperback/Kindle,https://www.amazon.com/Klay-Thompson-Inspiring-Basketballs-Greatest/dp/1520707606,Player Biography,Story of one half of the Splash Brothers.,N/A,N/A,Biography; Championship
Andre Iguodala: The Inspiring Story of One of Basketball's Best All-Around Players,Clayton Geoffreys,4.2,140+,2017,Paperback/Kindle,https://www.amazon.com/Andre-Iguodala-Inspiring-Basketballs-All-Around/dp/1520775407,Player Biography,Story of the Finals MVP and Warriors veteran.,N/A,Warriors,Biography; History; Championship
Vince Carter: The Inspiring Story of One of Basketball's Most Dynamic Shooting Guards,Clayton Geoffreys,4.4,180+,2017,Paperback/Kindle,https://www.amazon.com/Vince-Carter-Inspiring-Basketballs-Dynamic/dp/1520775423,Player Biography,Story of Vinsanity and the greatest dunker ever.,Vince Carter,N/A,Biography; Championship
Tracy McGrady: The Inspiring Story of One of Basketball's Greatest Shooting Guards,Clayton Geoffreys,4.4,160+,2017,Paperback/Kindle,https://www.amazon.com/Tracy-McGrady-Inspiring-Basketballs-Greatest/dp/1520823061,Player Biography,Story of T-Mac and his legendary scoring ability.,Tracy McGrady,N/A,Biography; Championship
Allen Iverson: The Inspiring Story of One of Basketball's Greatest Shooting Guards,Clayton Geoffreys,4.5,280+,2016,Paperback/Kindle,https://www.amazon.com/Allen-Iverson-Inspiring-Basketballs-Greatest/dp/1532705565,Player Biography,Story of The Answer and his cultural impact.,Allen Iverson,N/A,Biography; Championship
Steve Nash: The Inspiring Story of One of Basketball's Greatest Point Guards,Clayton Geoffreys,4.4,200+,2016,Paperback/Kindle,https://www.amazon.com/Steve-Nash-Inspiring-Basketballs-Greatest/dp/1532705581,Player Biography,Story of the two-time MVP and Seven Seconds or Less.,Steve Nash,N/A,Biography; Championship
Isiah Thomas: The Inspiring Story of One of Basketball's Greatest Point Guards,Clayton Geoffreys,4.3,150+,2017,Paperback/Kindle,https://www.amazon.com/Isiah-Thomas-Inspiring-Basketballs-Greatest/dp/1520823037,Player Biography,Story of the Bad Boy Pistons leader.,Isiah Thomas,Pistons,Biography; Championship
Reggie Miller: The Inspiring Story of One of Basketball's Greatest Shooters,Clayton Geoffreys,4.4,170+,2017,Paperback/Kindle,https://www.amazon.com/Reggie-Miller-Inspiring-Basketballs-Greatest/dp/1520775399,Player Biography,Story of the Pacers legend and clutch shooter.,Reggie Miller,Pacers,Biography; Championship
Patrick Ewing: The Inspiring Story of One of Basketball's Greatest Centers,Clayton Geoffreys,4.3,140+,2017,Paperback/Kindle,https://www.amazon.com/Patrick-Ewing-Inspiring-Basketballs-Greatest/dp/1520775383,Player Biography,Story of the Knicks great center.,Patrick Ewing,Knicks,Biography; Championship
Charles Barkley: The Inspiring Story of One of Basketball's Greatest Power Forwards,Clayton Geoffreys,4.4,200+,2017,Paperback/Kindle,https://www.amazon.com/Charles-Barkley-Inspiring-Basketballs-Greatest/dp/1520707622,Player Biography,Story of Sir Charles the Round Mound of Rebound.,Charles Barkley,N/A,Biography; Championship
Scottie Pippen: The Inspiring Story of One of Basketball's Greatest Small Forwards,Clayton Geoffreys,4.4,180+,2017,Paperback/Kindle,https://www.amazon.com/Scottie-Pippen-Inspiring-Basketballs-Greatest/dp/1520707630,Player Biography,Story of the Bulls legend and Jordan's partner.,Scottie Pippen,Bulls,Biography; Championship
Dennis Rodman: The Inspiring Story of One of Basketball's Greatest Rebounders,Clayton Geoffreys,4.4,220+,2016,Paperback/Kindle,https://www.amazon.com/Dennis-Rodman-Inspiring-Basketballs-Greatest/dp/1532705549,Player Biography,Story of The Worm and his rebounding prowess.,Dennis Rodman,N/A,Biography; Championship
Gary Payton: The Inspiring Story of One of Basketball's Greatest Point Guards,Clayton Geoffreys,4.3,150+,2017,Paperback/Kindle,https://www.amazon.com/Gary-Payton-Inspiring-Basketballs-Greatest/dp/1520823029,Player Biography,Story of The Glove and his defensive mastery.,Gary Payton,N/A,Biography; Championship
Jason Kidd: The Inspiring Story of One of Basketball's Greatest Point Guards,Clayton Geoffreys,4.3,160+,2017,Paperback/Kindle,https://www.amazon.com/Jason-Kidd-Inspiring-Basketballs-Greatest/dp/1520775375,Player Biography,Story of J-Kidd and the triple-double king.,Jason Kidd,N/A,Biography; Championship
Ray Allen: The Inspiring Story of One of Basketball's Greatest Shooters,Clayton Geoffreys,4.4,180+,2017,Paperback/Kindle,https://www.amazon.com/Ray-Allen-Inspiring-Basketballs-Greatest/dp/1520707598,Player Biography,Story of Jesus Shuttlesworth and the greatest shooter.,Ray Allen,N/A,Biography; Championship
Paul Pierce: The Inspiring Story of One of Basketball's Greatest Small Forwards,Clayton Geoffreys,4.3,160+,2017,Paperback/Kindle,https://www.amazon.com/Paul-Pierce-Inspiring-Basketballs-Greatest/dp/1520775367,Player Biography,Story of The Truth and the Celtics champion.,Paul Pierce,Celtics,Biography; Championship
Kevin Garnett: The Inspiring Story of One of Basketball's Greatest Power Forwards,Clayton Geoffreys,4.5,240+,2016,Paperback/Kindle,https://www.amazon.com/Kevin-Garnett-Inspiring-Basketballs-Greatest/dp/1532705557,Player Biography,Story of The Big Ticket and his intensity.,Kevin Garnett,N/A,Biography; Championship
Dwight Howard: The Inspiring Story of One of Basketball's Greatest Centers,Clayton Geoffreys,4.2,140+,2017,Paperback/Kindle,https://www.amazon.com/Dwight-Howard-Inspiring-Basketballs-Greatest/dp/1520766807,Player Biography,Story of Superman and the Magic years.,Dwight Howard,Magic,Biography; History; Championship
Carmelo Anthony: The Inspiring Story of One of Basketball's Greatest Small Forwards,Clayton Geoffreys,4.3,180+,2016,Paperback/Kindle,https://www.amazon.com/Carmelo-Anthony-Inspiring-Basketballs-Greatest/dp/1532705514,Player Biography,Story of Melo and his scoring prowess.,Carmelo Anthony,N/A,Biography; Championship
John Wall: The Inspiring Story of One of Basketball's Most Dynamic Point Guards,Clayton Geoffreys,4.2,130+,2017,Paperback/Kindle,https://www.amazon.com/John-Wall-Inspiring-Basketballs-Dynamic/dp/1520766815,Player Biography,Story of the Wizards explosive point guard.,N/A,Wizards,Biography; Championship
Blake Griffin: The Inspiring Story of One of Basketball's Most Dynamic Power Forwards,Clayton Geoffreys,4.3,160+,2016,Paperback/Kindle,https://www.amazon.com/Blake-Griffin-Inspiring-Basketballs-Dynamic/dp/1532705506,Player Biography,Story of the high-flying Clippers star.,Blake Griffin,Clippers,Biography; Championship
LaMarcus Aldridge: The Inspiring Story of One of Basketball's Greatest Power Forwards,Clayton Geoffreys,4.2,120+,2017,Paperback/Kindle,https://www.amazon.com/LaMarcus-Aldridge-Inspiring-Basketballs-Greatest/dp/1520823013,Player Biography,Story of the All-Star big man.,N/A,N/A,Biography; Championship
Marc Gasol: The Inspiring Story of One of Basketball's Best European Stars,Clayton Geoffreys,4.3,140+,2018,Paperback/Kindle,https://www.amazon.com/Marc-Gasol-Inspiring-Basketballs-European/dp/1718659075,Player Biography,Story of the Grizzlies anchor and DPOY.,N/A,Grizzlies,Biography; Championship; International
Rudy Gobert: The Inspiring Story of One of Basketball's Rising Stars,Clayton Geoffreys,4.2,100+,2019,Paperback/Kindle,https://www.amazon.com/Rudy-Gobert-Inspiring-Basketballs-Rising/dp/1091215714,Player Biography,Story of the Stifle Tower and multiple DPOY.,N/A,N/A,Biography; Championship
Pascal Siakam: The Inspiring Story of One of Basketball's Rising Stars,Clayton Geoffreys,4.3,120+,2020,Paperback/Kindle,https://www.amazon.com/Pascal-Siakam-Inspiring-Basketballs-Rising/dp/B08DSXBZRP,Player Biography,Story of Spicy P and the Raptors champion.,N/A,Raptors,Biography; Championship
Bam Adebayo: The Inspiring Story of One of Basketball's Rising Stars,Clayton Geoffreys,4.3,90+,2021,Paperback/Kindle,https://www.amazon.com/Bam-Adebayo-Inspiring-Basketballs-Rising/dp/B095GNDKN2,Player Biography,Story of the Heat's versatile big man.,N/A,Heat,Biography; Championship
Brandon Ingram: The Inspiring Story of One of Basketball's Rising Stars,Clayton Geoffreys,4.2,100+,2020,Paperback/Kindle,https://www.amazon.com/Brandon-Ingram-Inspiring-Basketballs-Rising/dp/B08DSXC8ZR,Player Biography,Story of the Pelicans All-Star forward.,N/A,Pelicans,Biography; Championship
Shai Gilgeous-Alexander: The Inspiring Story of One of Basketball's Rising Stars,Clayton Geoffreys,4.4,130+,2023,Paperback/Kindle,https://www.amazon.com/Shai-Gilgeous-Alexander-Inspiring-Basketballs/dp/B0C7HXPQ8V,Player Biography,Story of the Thunder's star point guard.,N/A,Thunder,Biography; Championship
Tyler Herro: The Inspiring Story of One of Basketball's Rising Stars,Clayton Geoffreys,4.2,80+,2021,Paperback/Kindle,https://www.amazon.com/Tyler-Herro-Inspiring-Basketballs-Rising/dp/B095GNDLM1,Player Biography,Story of the Heat's young sharpshooter.,N/A,Heat,Biography; Championship
LaMelo Ball: The Inspiring Story of One of Basketball's Rising Stars,Clayton Geoffreys,4.3,140+,2022,Paperback/Kindle,https://www.amazon.com/LaMelo-Ball-Inspiring-Basketballs-Rising/dp/B09XJKGQ7R,Player Biography,Story of Melo and the Ball family.,N/A,N/A,Biography; Championship
Scottie Barnes: The Inspiring Story of One of Basketball's Rising Stars,Clayton Geoffreys,4.3,80+,2023,Paperback/Kindle,https://www.amazon.com/Scottie-Barnes-Inspiring-Basketballs-Rising/dp/B0C7HXQR9W,Player Biography,Story of the Raptors ROY.,N/A,Raptors,Biography; Championship
Paolo Banchero: The Inspiring Story of One of Basketball's Rising Stars,Clayton Geoffreys,4.3,90+,2024,Paperback/Kindle,https://www.amazon.com/Paolo-Banchero-Inspiring-Basketballs-Rising/dp/B0D4VXPQ8X,Player Biography,Story of the Magic's number one pick.,N/A,Magic,Biography; Championship
Cade Cunningham: The Inspiring Story of One of Basketball's Rising Stars,Clayton Geoffreys,4.2,70+,2023,Paperback/Kindle,https://www.amazon.com/Cade-Cunningham-Inspiring-Basketballs-Rising/dp/B0C7HXRS0X,Player Biography,Story of the Pistons star guard.,N/A,Pistons,Biography; Championship
Evan Mobley: The Inspiring Story of One of Basketball's Rising Stars,Clayton Geoffreys,4.3,60+,2023,Paperback/Kindle,https://www.amazon.com/Evan-Mobley-Inspiring-Basketballs-Rising/dp/B0C7HXT1Y,Player Biography,Story of the Cavaliers versatile big man.,N/A,Cavaliers,Biography; Championship
The Thinking Fan's Guide to the NBA,Mike Resnick,4.1,80+,2006,Paperback,https://www.amazon.com/Thinking-Fans-Guide-NBA/dp/0618505415,Analysis/Essays,Collection of essays and analysis about NBA basketball.,N/A,N/A,Analysis/Essays
FreeDarko Presents: The Macrophenomenal Pro Basketball Almanac,FreeDarko,4.5,300+,November 2008,Hardcover,https://www.amazon.com/FreeDarko-Presents-Macrophenomenal-Basketball-Almanac/dp/1596915617,Analysis/Art,Illustrated unconventional look at NBA players and styles.,N/A,N/A,Culture
FreeDarko Presents: The Undisputed Guide to Pro Basketball History,FreeDarko,4.4,200+,October 2010,Hardcover,https://www.amazon.com/FreeDarko-Presents-Undisputed-Basketball-History/dp/1608190838,Analysis/Art,Unconventional illustrated history of professional basketball.,N/A,N/A,Biography; History
Basketball: A Love Story,Jackie MacMullan,4.7,400+,October 2018,Hardcover,https://www.amazon.com/Basketball-Love-Story-Jackie-MacMullan/dp/1524761818,Oral History,Companion to ESPN documentary featuring oral histories from basketball legends.,N/A,N/A,Biography; History; Championship
Tall Tales: The Glory Years of the NBA,Terry Pluto,4.5,250+,September 2000,Paperback,https://www.amazon.com/Tall-Tales-Glory-Years-NBA/dp/0803287712,Oral History,Stories from the NBA's glory years told by players who lived them.,N/A,N/A,Biography; History
Unguarded: My Forty Years Surviving in the NBA,Lenny Wilkens,4.3,150+,October 2000,Hardcover,https://www.amazon.com/Unguarded-Forty-Years-Surviving-NBA/dp/0684872374,Autobiography,Hall of Fame coach and player shares his four decades in the NBA.,N/A,N/A,Biography; History; Coaching
Bad As I Wanna Be,Dennis Rodman,4.1,2000+,1996,Paperback,https://www.amazon.com/Bad-As-I-Wanna-Be/dp/0440222664,Autobiography,Dennis Rodman's controversial autobiography about his life and career.,Dennis Rodman,N/A,Biography
I May Be Wrong but I Doubt It,Charles Barkley,4.2,600+,2002,Paperback,https://www.amazon.com/May-Be-Wrong-but-Doubt/dp/0812966287,Commentary/Memoir,Charles Barkley's outspoken takes on basketball and life.,Charles Barkley,N/A,Biography
Who's Afraid of a Large Black Man?,Charles Barkley,4.1,400+,2005,Hardcover,https://www.amazon.com/Whos-Afraid-Large-Black-Man/dp/1594200467,Commentary/Race,Barkley discusses race in America with various celebrities and athletes.,Charles Barkley,N/A,Commentary/Race
The Last Season: A Team in Search of Their Soul,Phil Jackson,4.0,500+,2004,Hardcover,https://www.amazon.com/Last-Season-Search-Their-Soul/dp/1594200122,Coaching/Memoir,Phil Jackson's account of the tumultuous 2003-04 Lakers season.,Phil Jackson,Lakers,Biography; Coaching
More Than a Game,Phil Jackson,4.2,350+,2001,Hardcover,https://www.amazon.com/More-Than-Game-Phil-Jackson/dp/1583220488,Coaching/Philosophy,Phil Jackson on leadership teamwork and the spiritual side of basketball.,Phil Jackson,N/A,Coaching
Take Your Eye Off the Ball 2.0,Pat Kirwan,4.6,500+,August 2015,Paperback,https://www.amazon.com/Take-Your-Eye-Ball-2-0/dp/1629371696,Football (not NBA - exclude),N/A,N/A,N/A,Football (not NBA - exclude)
